,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
Notepad3 (C++),1,31,4,8,0,0,0,0,0,25,134,1,0,0,37,0,0,7,0,59,0,0,0,0,1,0,0,8,3,4,40,0,18,15,87,51,0,0,1,0,1,0,10,0,116,0,0,3,21,0,0,9,0,1,0,0,0,0,0,1,0,0,0,1,64,0,3,0,13,0,0,0,57,0,0,38,85,0,0,1,0,0,0,0,5,0,0,0,0,1,4,36,0,0,24,0,17,3,0,0,1,123,0,2,0,0,4,16,2,0,0,3,0,4,0,0
chineseocr_lite (C++),0,15,6,29,3,0,0,0,0,7,51,0,0,6,32,0,0,6,0,12,0,6,0,0,3,0,0,3,3,0,49,0,6,6,29,2,0,0,3,0,0,0,10,0,7,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,1,0,9,0,62,0,12,0,0,0,0,0,26,0,0,6,25,0,0,3,0,0,0,0,1,0,0,6,0,0,0,16,0,0,22,0,0,0,0,0,0,51,0,1,0,0,0,25,11,0,0,0,0,3,0,0
DirectX-Graphics-Samples (C++),3,3746,4,72,4,0,0,0,0,656,9069,0,0,1,88,0,0,5,0,182,0,2,0,0,192,0,0,14,4,372,610,0,591,250,225,66,2,0,60,0,0,2,25,0,1431,0,0,2,1082,0,0,64,0,0,0,0,0,0,0,125,0,0,6,0,2296,0,49,0,45,0,0,0,576,0,0,675,175,0,0,4,4,1,0,4,58,0,0,5,1,7,0,579,0,0,597,0,66,69,0,0,184,642,0,1,0,8,1935,168,215,0,0,10,0,16,0,0
node-sass (C++),0,12,0,22,0,0,0,0,0,25,177,0,0,0,13,0,0,15,0,51,0,1,0,0,10,0,0,94,11,5,29,0,73,25,53,2,0,0,0,0,0,0,20,2,17,0,0,0,3,0,0,3,0,1,1,0,0,0,0,6,3,0,0,0,116,0,2,0,11,0,0,0,10,0,0,31,91,0,0,1,0,0,0,0,44,0,0,0,0,0,0,32,0,0,12,0,0,2,0,1,1,261,0,0,0,0,10,50,14,0,0,10,0,5,0,0
tracy (C++),2,79,5,83,1,0,1,0,0,95,331,0,0,0,50,0,0,6,0,58,0,6,0,0,14,0,0,15,10,2,217,0,43,12,97,20,1,0,0,0,0,1,35,0,174,0,3,1,91,0,0,4,0,0,0,0,0,0,0,7,0,0,3,0,307,0,27,0,7,0,0,0,74,0,0,92,40,1,0,3,0,0,3,0,16,0,0,2,0,3,0,21,0,0,69,0,14,4,0,0,52,172,0,1,0,2,27,68,13,0,0,1,0,0,0,0
azerothcore-wotlk (C++),15,611,22,708,23,0,0,2,1,967,3458,2,0,10,554,0,0,102,0,1299,0,32,0,1,44,0,1,92,75,29,2084,9,389,455,281,43,1,2,8,0,0,36,286,4,1233,0,0,7,149,5,0,152,8,5,0,0,0,0,1,84,4,0,5,0,4726,0,195,0,105,0,1,0,321,0,0,899,1627,1,807,32,1,16,3,0,126,0,0,13,1,53,2,295,0,0,1019,0,261,17,0,2,72,768,1,36,0,5,740,651,227,0,0,106,0,35,0,4
flameshot (C++),2,98,6,18,0,0,0,0,1,9,160,0,0,0,48,0,0,1,0,133,0,4,0,0,8,0,0,7,2,3,183,3,51,12,24,3,0,0,0,0,0,0,17,0,156,0,2,0,3,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,299,0,1,0,5,0,0,0,21,0,0,46,85,0,21,5,0,0,0,0,15,0,0,0,0,0,0,114,0,0,36,0,13,2,0,0,3,59,1,0,0,0,2,23,27,0,0,7,0,3,1,0
pybind11 (C++),0,10,5,34,0,0,0,1,0,54,283,0,0,0,11,0,0,10,0,75,0,0,0,0,1,0,0,49,21,6,10,0,45,7,74,2,0,0,0,0,0,0,3,0,77,0,0,1,17,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,12,0,0,0,64,0,0,42,36,0,1,0,0,0,0,0,1,0,0,2,0,0,0,29,0,0,43,0,2,1,0,5,5,25,0,3,0,1,19,33,5,0,0,4,0,18,0,0
SimpleNES (C++),0,16,2,0,0,0,0,0,0,0,18,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,7,0,2,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,15,0,0,0,0,2,0,1,0,0,0,0,0,0,0
caffe (C++),0,33,0,54,2,0,0,0,1,26,351,0,0,0,4,0,0,4,0,50,0,0,0,0,5,0,0,18,3,0,130,7,202,5,158,2,2,0,1,0,0,0,13,0,42,0,0,2,88,0,0,6,0,0,2,0,0,0,0,3,4,0,0,0,322,0,2,1,17,0,0,1,54,0,0,60,51,0,1,1,4,1,0,0,2,0,0,0,18,0,0,7,0,0,25,0,5,0,0,0,0,50,0,0,0,2,48,33,32,0,0,4,0,1,0,1
WiFiManager (C++),0,31,1,0,0,0,0,0,0,1,8,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,0,1,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,4,0,0,0,11,0,0,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0
glslViewer (C++),0,8,2,6,0,0,0,0,0,65,39,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,44,0,0,0,11,0,0,0,0,0,0,0,6,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,1,0,6,0,0,0,11,0,0,6,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0
R3nzSkin (C++),2,12,4,26,1,0,0,0,0,42,136,0,0,1,50,0,0,10,0,35,0,3,0,0,9,0,0,7,3,4,113,0,27,6,16,10,0,0,0,0,0,0,21,0,77,0,0,1,17,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,88,0,3,0,7,0,0,0,16,0,0,20,22,0,0,5,0,1,1,0,16,0,0,0,0,1,0,17,0,0,20,0,3,2,0,0,2,67,0,0,0,1,1,30,5,0,0,7,0,4,0,0
NanaZip (C++),34,191,57,103,0,0,0,0,0,433,976,0,0,3,440,0,0,305,0,212,0,10,0,0,42,0,0,42,70,15,1130,0,38,116,395,295,0,0,9,0,0,3,181,5,540,0,0,7,281,0,0,56,10,0,0,0,0,0,0,19,0,0,10,0,667,0,58,0,32,0,0,0,231,0,0,143,121,3,0,29,5,9,1,0,174,0,0,11,0,29,3,214,0,0,311,0,52,18,0,5,63,1800,0,67,0,2,32,718,71,0,0,23,0,22,0,0
synergy-core (C++),1,76,7,24,17,0,0,0,0,36,323,1,0,0,94,0,0,21,0,167,0,4,0,5,5,0,0,13,0,4,360,3,39,45,198,6,4,1,10,0,0,0,35,2,139,0,0,1,37,0,0,14,0,3,8,0,0,0,2,1,0,0,1,0,541,0,11,0,31,0,0,0,99,0,0,184,156,1,2,1,3,1,0,0,11,0,0,3,1,12,0,88,0,0,100,0,53,1,0,1,3,143,0,1,0,7,93,54,30,1,0,17,0,1,0,4
nanogui (C++),1,57,3,14,0,0,0,0,1,1,66,0,0,0,35,0,0,2,0,15,0,0,0,0,0,0,0,5,0,1,64,1,12,4,12,1,0,0,1,0,0,0,21,0,44,0,0,0,5,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,65,0,1,0,5,0,0,0,79,0,0,65,5,0,0,3,0,0,0,0,8,0,0,0,0,0,0,1,0,0,69,0,20,0,0,0,0,13,0,5,0,0,3,9,11,0,0,2,0,3,0,0
interpret (C++),0,13,0,20,0,0,0,0,0,70,50,0,0,0,1,0,0,6,0,77,0,2,0,0,2,0,0,1,0,2,11,0,75,1,4,3,0,0,0,0,0,0,0,0,23,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,46,0,0,0,35,0,0,33,17,0,0,0,0,0,0,0,9,0,0,0,0,2,0,6,0,0,11,0,3,0,0,0,11,32,0,0,0,0,10,0,3,0,0,1,0,12,0,0
libphonenumber (C++),0,3,0,23,3,0,0,0,0,8,107,0,0,5,10,0,0,6,0,60,0,0,0,0,17,0,0,8,11,4,27,1,3,36,41,1,0,0,0,0,0,3,4,1,59,0,0,0,14,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,8,0,0,0,18,0,0,37,210,0,5,0,1,4,0,0,10,0,0,1,5,1,0,8,0,0,8,0,19,1,0,0,43,90,0,0,0,0,2,26,45,0,0,2,0,1,0,0
CppTemplateTutorial (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
node.bcrypt.js (C++),0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
handy (C++),0,21,0,11,0,0,0,0,0,5,45,0,0,0,6,0,0,0,0,19,0,0,0,0,1,0,0,3,6,1,31,0,2,0,17,1,0,0,0,0,0,0,4,0,3,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,0,2,0,17,0,0,0,18,0,0,15,26,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,6,0,0,1,0,23,0,0,0,0,0,9,4,0,0,0,0,4,0,0
Sunshine (C++),0,13,1,21,4,0,0,0,0,27,86,0,0,0,19,0,0,8,0,16,0,0,0,0,5,0,0,11,3,4,43,0,6,6,56,16,0,0,0,0,1,0,6,0,16,0,0,2,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,47,0,1,0,22,0,0,0,13,0,0,22,14,0,0,0,1,0,0,0,9,0,0,0,0,0,0,20,0,0,15,0,0,4,0,0,0,124,0,0,0,0,7,4,6,0,0,3,0,3,0,0
faiss (C++),12,29,0,118,3,0,0,0,0,191,598,0,0,1,4,0,0,8,0,145,0,6,0,1,7,0,0,6,4,0,190,10,21,8,112,9,4,0,1,0,0,19,2,0,51,0,0,8,95,0,0,92,1,4,0,0,0,0,0,9,0,0,1,0,106,0,6,0,32,0,0,0,30,0,0,28,27,0,4,0,1,2,4,0,25,0,0,18,0,29,0,6,0,0,93,0,81,1,0,0,12,35,1,1,0,2,15,29,34,0,0,0,0,21,0,0
MegEngine (C++),5,157,5,238,5,0,0,0,3,425,1368,0,0,2,39,0,0,14,0,899,0,11,0,0,96,0,0,81,65,85,424,2,857,51,195,49,0,0,1,0,0,9,45,2,447,0,0,2,174,1,0,35,0,7,2,0,1,0,0,56,11,0,7,0,1174,0,41,2,69,0,0,1,240,0,0,463,1061,0,0,7,0,0,3,0,182,1,0,33,3,150,3,664,0,0,187,0,104,17,0,1,26,783,0,1,0,30,152,161,139,0,0,22,0,101,0,0
conky (C++),0,47,3,44,1,0,0,0,0,69,357,0,0,0,12,0,0,9,0,99,0,3,0,0,48,0,0,33,6,47,92,0,48,23,66,15,0,0,0,0,0,4,32,0,249,0,0,0,48,0,0,22,0,0,0,0,0,0,0,25,2,0,0,0,145,0,3,0,13,0,0,0,29,0,0,137,91,0,0,5,0,3,0,0,17,0,0,0,0,0,0,58,0,0,35,0,17,0,0,0,10,51,0,6,0,2,59,51,7,0,0,4,0,4,0,0
TranslucentTB (C++),0,9,1,3,0,0,0,0,0,24,55,0,0,0,7,0,0,10,0,56,0,0,0,0,2,0,0,5,0,1,51,0,2,3,19,2,0,0,0,0,0,0,6,0,15,0,0,0,9,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,91,0,2,0,0,0,0,0,6,0,0,19,45,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,12,0,10,0,0,1,10,51,0,0,0,1,1,9,8,0,0,0,0,2,0,0
arduino-esp32 (C++),0,70,12,49,0,0,0,0,3,132,195,0,0,2,92,0,0,47,0,255,0,3,0,0,5,0,0,8,24,9,180,3,36,2,79,13,0,0,3,0,0,1,137,2,29,0,1,19,47,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,144,0,3,0,239,0,0,0,94,0,1,67,80,1,0,5,2,4,0,0,16,0,4,2,0,1,0,37,0,0,98,0,3,6,0,2,0,217,0,38,0,0,25,44,10,0,0,13,0,8,0,0
retdec (C++),0,318,23,653,15,0,0,0,1,159,1094,0,0,6,305,0,0,97,0,625,0,11,0,0,52,0,0,75,20,28,655,6,303,301,93,39,0,1,3,0,0,13,186,5,1098,0,0,6,65,4,0,80,0,29,0,0,0,0,0,59,22,0,5,0,1494,0,18,0,167,0,0,0,665,0,0,538,770,4,0,8,5,0,0,0,147,0,1,1,2,29,1,166,0,0,513,0,158,6,0,1,64,803,0,11,0,4,242,659,223,0,0,67,0,26,0,0
EasyPR (C++),0,21,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,39,0,0,22,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0
protobuf (C++),1,74,0,207,12,0,1,0,0,202,712,0,2,2,217,0,0,34,0,535,0,5,1,0,28,0,1,81,43,21,341,6,122,89,250,24,0,3,2,0,0,4,137,0,452,0,0,11,134,0,0,81,0,9,3,0,0,0,0,7,5,0,0,0,611,0,27,1,154,0,3,2,100,0,3,117,979,0,0,1,5,2,1,2,66,0,0,0,4,8,1,138,0,0,114,0,458,6,0,1,369,403,0,14,0,27,86,133,348,0,0,24,0,5,0,1
cryptopp (C++),1,64,0,192,2,0,0,0,0,32,470,0,0,1,4,0,0,21,0,281,0,30,0,0,33,0,0,30,17,9,153,9,197,36,184,34,0,0,0,0,0,6,24,1,166,0,0,17,28,0,0,15,0,0,2,0,0,0,0,4,1,0,4,0,184,0,2,0,62,0,0,0,65,0,2,174,169,0,3,7,0,0,3,0,19,0,0,4,2,5,0,156,0,0,49,0,70,7,0,5,5,29,0,1,0,0,14,86,9,0,0,2,0,2,0,7
ZLMediaKit (C++),1,105,11,112,0,0,0,0,0,52,268,0,0,4,125,0,0,14,0,116,0,5,0,0,1,0,0,6,5,2,256,0,105,8,89,8,1,0,0,0,0,3,47,0,101,0,0,2,43,0,0,7,0,0,0,0,0,0,0,10,0,0,1,0,402,0,8,0,55,0,0,0,145,0,0,63,82,0,0,5,3,2,1,0,30,0,0,0,0,3,0,57,0,0,86,0,4,4,0,2,0,113,0,6,0,0,52,48,37,0,0,4,0,9,0,0
BackgroundMusic (C++),0,23,5,0,0,0,0,0,0,30,166,0,0,0,119,0,0,37,0,181,0,0,0,0,41,0,0,35,23,2,61,0,3,159,55,9,0,0,0,0,0,4,0,0,134,0,0,0,64,0,0,3,0,0,0,0,0,0,0,21,0,0,2,0,129,0,2,0,0,0,0,0,23,0,0,87,13,0,0,0,0,0,0,0,2,0,0,3,0,41,0,10,0,0,46,0,12,1,0,12,1,53,0,0,0,2,9,48,3,0,0,0,0,4,0,0
Sigil (C++),1,85,7,36,28,0,0,0,3,18,317,19,0,1,163,0,0,2,0,119,0,8,0,1,17,0,0,17,3,1,505,3,52,6,132,1,0,1,5,0,0,2,139,1,89,0,2,6,17,0,0,1,0,17,0,0,0,0,0,1,1,0,1,0,880,0,12,0,158,0,0,0,84,0,0,98,387,0,0,7,6,1,0,0,43,0,0,0,3,0,0,33,0,0,80,0,12,13,0,0,0,498,1,1,0,0,23,14,39,0,0,8,0,2,0,0
yoga (C++),0,25,2,17,0,0,0,0,0,39,76,0,0,1,16,0,0,8,0,34,0,0,0,0,1,0,0,9,3,2,25,1,17,8,11,4,0,0,0,0,0,0,11,0,39,0,0,0,57,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,98,0,1,0,3,0,0,0,17,0,0,35,18,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,573,133,0,0,0,2,9,16,0,2,0,0,0,2,0,1
cocos2d-x (C++),13,649,50,379,163,0,0,0,2,199,1608,18,146,2,670,0,0,44,0,833,0,18,1,22,24,0,9,60,28,21,2008,4,1637,140,1120,21,0,0,227,0,0,14,276,6,436,0,2,5,251,1,0,23,0,82,11,0,0,0,2,33,1,1,6,0,2769,0,78,1,205,0,0,0,1071,0,1,855,455,3,0,8,1,9,3,5,104,0,0,25,1,6,1,105,0,0,1012,0,36,29,0,0,15,682,0,40,5,4,381,120,202,0,91,34,5,13,1,0
modern-cpp-tutorial (C++),0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
brpc (C++),3,81,10,263,5,12,0,0,7,110,1086,0,1,10,164,0,0,31,0,304,0,12,4,1,32,0,2,75,43,15,530,5,102,50,538,63,1,4,4,1,0,1,106,1,280,0,3,32,127,0,0,68,0,10,1,0,0,0,0,7,5,0,11,0,425,0,19,0,154,0,1,3,315,0,1,238,337,1,0,6,6,1,1,0,22,0,3,4,2,12,2,59,0,0,248,0,36,10,0,2,3,540,0,27,0,14,147,216,49,1,1,12,0,25,0,12
gnuradio (C++),31,272,3,271,1,0,0,0,4,106,950,0,0,1,49,0,0,23,0,714,0,38,0,1,27,0,0,12,10,3,1184,1,192,0,604,52,0,0,0,0,0,18,83,0,118,0,0,17,140,0,0,23,0,0,0,0,0,0,0,36,0,0,7,1,535,0,32,0,377,0,0,0,674,0,0,222,149,0,4,1,8,5,9,1,84,0,1,12,0,28,0,36,0,0,442,0,6,11,0,1,1,431,0,22,0,26,30,65,45,0,0,5,0,2,0,1
magnum (C++),2,35,3,3,0,0,0,0,0,121,1261,0,0,0,57,0,0,21,0,1768,0,0,0,0,352,0,0,176,10,168,170,0,85,48,42,67,0,0,0,0,0,0,9,0,425,0,0,0,99,0,0,44,0,0,0,0,0,0,0,166,163,0,1,0,843,0,12,2,9,0,0,0,110,0,0,603,3427,0,0,3,0,2,0,1,31,0,0,0,0,1,0,437,0,0,58,0,156,1,0,1,183,613,0,1,0,17,200,53,64,0,0,8,0,3,2,0
