Free Function Name,Free Function Stereotype
"getClassSchema","literal"
"getDecoder","literal"
"createDecoder","literal"
"fromByteBuffer","literal wrapper"
"newBuilder","literal"
"newBuilder","literal"
"newBuilder","literal"
"getClassSchema","literal"
"getDecoder","literal"
"createDecoder","literal"
"fromByteBuffer","literal wrapper"
"newBuilder","literal"
"newBuilder","literal"
"newBuilder","literal"
"getSerialVersionUID","literal"
"main","main"
"main","main"
"main","main"
"main","main"
"main","main"
"setup","global-command literal wrapper"
"close","literal wrapper"
"setup","global-command literal"
"main","main"
"applyNumericFormat","wrapper"
"main","main"
"updateCellWithImage","wrapper"
"getLastRowFromSheet","property wrapper"
"generateMSWordFile","global-command literal wrapper"
"excelDataToListOfObjets_withFastExcel","literal wrapper"
"excelDataToListOfObjets_withJxl","literal wrapper"
"excelDataToListOfObjets_withApachePOI","literal wrapper"
"excelDataToListOfObjets_withPOIJI","literal wrapper"
"newCell","wrapper"
"newRow","property wrapper"
"boldFontStyle","property wrapper"
"write","wrapper"
"readExcel","literal wrapper"
"printCellValue","wrapper"
"setup","global-command literal wrapper"
"createRowsAndCells","wrapper"
"close","literal wrapper"
"main","main"
"main","main"
"main","main"
"main","main"
"ingestCustomerDataFromAmazon","literal wrapper"
"ingestCustomerDataFromEbay","literal wrapper"
"combineDataframes","property wrapper"
"normalizeCustomerDataFromEbay","property wrapper"
"normalizeCustomerDataFromAmazon","property wrapper"
"aggregateYearlySalesByGender","property wrapper"
"print","wrapper"
"main","main"
"convertToDataFrameWithNoChange","literal wrapper"
"convertAfterMappingRows","property wrapper"
"aCustomerWith","literal"
"print","wrapper"
"main","main"
"main","main"
"convertToDataSetFromStrings","literal wrapper"
"convertToDataSetFromPOJO","literal wrapper"
"getNames","literal wrapper"
"print","wrapper"
"aCustomerWith","literal"
"customerSchema","literal wrapper"
"minimumCustomerDataSchema","literal wrapper"
"getSparkSession","literal wrapper"
"main","main"
"main","main"
"beforeAll","global-command literal wrapper"
"init","global-command literal wrapper"
"cleanup","literal wrapper"
"init","global-command literal wrapper"
"cleanup","literal wrapper"
"init","global-command literal wrapper"
"cleanup","literal wrapper"
"init","global-command literal wrapper"
"cleanup","literal wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"getProcessMap","wrapper"
"getProcessMap","wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"findByThriftId","property"
"findByThriftIdOrThrow","literal wrapper"
"findByName","literal wrapper"
"scheme","property wrapper"
"main","main"
"main","main"
"main","main"
"getResponseBodySpec","literal wrapper"
"main","main"
"setupClass","global-command literal wrapper"
"isEmpty","predicate wrapper"
"loadFromFileInClasspath","literal wrapper"
"main","main"
"toJson","literal wrapper"
"fromJson","literal wrapper"
"createSessionFactory","literal wrapper"
"main","main"
"main","main"
"main","main"
"checkResult","wrapper"
"main","main"
"concatBuffers","property wrapper"
"checkResult","wrapper"
"generateFiles","property wrapper"
"generateRandomBytes","property wrapper"
"main","main"
"main","main"
"connectS3","global-command literal"
"main","main"
"userNamed","literal wrapper"
"main","main"
"main","main"
"main","main"
"countArgs","property"
"main","main"
"main","main"
"main","main"
"main","main"
"main","main"
"copyBySetCopyOf","literal wrapper"
"suite","literal"
"mainPrivateMethod","literal"
"main","main"
"useClientWithAuthenticator","literal wrapper"
"useClientWithHeaders","literal wrapper"
"getBasicAuthenticationHeader","property wrapper"
"startClient","literal wrapper"
"main","main"
"startServer","literal wrapper"
"main","main"
"search","property wrapper"
"search","property wrapper"
"search","literal wrapper"
"search","literal wrapper"
"doSearch","property wrapper"
"main","main"
"alterAnnotationValueJDK8","literal wrapper"
"alterAnnotationValueJDK7","literal wrapper"
"publicStaticMultiply","property"
"__getWsdlLocation","literal"
"fromValue","literal wrapper"
"initData","literal wrapper"
"main","main"
"fromValue","literal wrapper"
"startServer","global-command literal wrapper"
"stopServer","literal wrapper"
"getFieldNames","property wrapper"
"getMethodNames","property wrapper"
"generateFileFromStringList","property wrapper"
"generateFileFromStringList","property wrapper"
"generateFileFromStringList","property wrapper"
"setUp","global-command literal wrapper"
"main","main"
"main","main"
"main","main"
"httpGetRequest","literal wrapper"
"httpPostRequest","literal wrapper"
"asynchronousGetRequest","literal wrapper"
"asynchronousMultipleRequests","literal wrapper"
"pushRequest","literal wrapper"
"pushPromiseHandler","literal wrapper"
"main","main"
"suite","literal"
"filesCompareByByte","property wrapper"
"filesCompareByLine","property wrapper"
"compareByMemoryMappedFiles","predicate wrapper"
"setup","global-command literal wrapper"
"shutDown","literal wrapper"
"setup","global-command literal wrapper"
"setup","global-command literal wrapper"
"shutDown","literal wrapper"
"setup","global-command literal wrapper"
"shutDown","literal wrapper"
"main","main"
"calculateGrade","property"
"getCountryCode","literal"
"main","main"
"valueOfPoint","literal wrapper"
"isOrigin","predicate"
"moveDinosaurUsingEnum","property wrapper"
"moveDinosaurUsingInstanceof","property wrapper"
"moveDinosaurUsingGetClass","property wrapper"
"moveDinosaurUsingPolymorphism","property wrapper"
"moveDinosaurUsingVisitorPattern","property wrapper"
"findInStack","property wrapper"
"maliciousCode","literal"
"deserialize","literal wrapper"
"deserialize","property wrapper"
"deserializeIntoSet","literal wrapper"
"deserializeIntoSet","property wrapper"
"baseFilter","literal wrapper"
"fallbackFilter","literal wrapper"
"safeSizeFilter","literal wrapper"
"safeArrayFilter","literal wrapper"
"safeDepthFilter","literal wrapper"
"serialize","literal wrapper"
"Human","empty"
"of","literal"
"of","literal"
"of","literal"
"main","main"
"testL128X1024MixRandom","literal wrapper"
"testL128X128MixRandom","literal wrapper"
"testL128X256MixRandom","literal wrapper"
"testL32X64MixRandom","literal wrapper"
"testL64X1024MixRandom","literal wrapper"
"testL64X128MixRandom","literal wrapper"
"testL64X128StarStarRandom","literal wrapper"
"testL64X256MixRandom","literal wrapper"
"testRandom","literal wrapper"
"testSecureRandom","literal wrapper"
"testSplittableRandom","literal wrapper"
"testXoroshiro128PlusPlus","literal wrapper"
"testXoshiro256PlusPlus","literal wrapper"
"generateRandomNumbers","wrapper"
"main","main"
"getRandomInt","property wrapper"
"getDefaultGenerator","literal wrapper"
"getJumpableGenerator","literal wrapper"
"getRandomInt","literal wrapper"
"generateNumbersInMultipleThreads","literal wrapper"
"getDoubleValueUsingIf","wrapper"
"getDoubleValueUsingGuardedPatterns","wrapper"
"getDoubleUsingSwitchNullCase","wrapper"
"getDoubleUsingSwitchTotalType","wrapper"
"getDoubleValueUsingIf","wrapper"
"getDoubleValueUsingParenthesizedPatterns","wrapper"
"main","main"
"main","main"
"getDoubleUsingIf","property wrapper"
"getDoubleUsingSwitch","wrapper"
"bytes","property wrapper"
"setup","literal wrapper"
"createInstances","global-command literal"
"createInstances","global-command literal"
"constructInetAddress","literal wrapper"
"main","main"
"generateList","literal wrapper"
"main","main"
"readZipEntries","literal wrapper"
"processInputOld","property wrapper"
"processInputNew","property wrapper"
"beforeRecordPattern","property wrapper"
"afterRecordPattern","property wrapper"
"getRamdomPointColor","property wrapper"
"getBalanceWithOutSwitchPattern","property wrapper"
"getBalanceWithSwitchPattern","property wrapper"
"main","main"
"getObjectsColorWithNamedPattern","property wrapper"
"getObjectsColorWithUnnamedPattern","property wrapper"
"getObjectsColorWithSwitchAndNamedPattern","wrapper"
"getObjectsColorWithSwitchAndUnnamedPattern","wrapper"
"getEngineTypeWithNamedPattern","wrapper"
"getEngineTypeWithUnnamedPattern","wrapper"
"countCarsOverLimitWithNamedVariable","property"
"countCarsOverLimitWithUnnamedVariable","property"
"sendNotificationToCarsWithNamedVariable","wrapper"
"sendNotificationToCarsWithUnnamedVariable","wrapper"
"sendOneTimeNotification","literal"
"removeThreeCarsAndReturnFirstRemovedWithNamedVariables","property wrapper"
"removeThreeCarsAndReturnFirstRemovedWithUnnamedVariables","property wrapper"
"handleCarExceptionWithNamedVariables","wrapper"
"handleCarExceptionWithUnnamedVariables","wrapper"
"obtainTransactionAndUpdateCarWithNamedVariables","literal wrapper"
"obtainTransactionAndUpdateCarWithUnnamedVariables","literal wrapper"
"updateCar","literal"
"getCarsByFirstLetterWithNamedVariables","property wrapper"
"getCarsByFirstLetterWithUnnamedVariables","property wrapper"
"someOperationThatFails","wrapper"
"main","main"
"main","main"
"main","main"
"capitalizeNames","command"
"firstLetterOfWords","property wrapper"
"main","main"
"isPlayerWin","predicate wrapper"
"getComputerMove","literal wrapper"
"getMaxNumber","property"
"getMinNumber","property"
"returnUpperCase","property wrapper"
"returnLowerCase","property wrapper"
"splitStringInput","property wrapper"
"main","main"
"main","main"
"main","main"
"getLabel","literal wrapper"
"run","wrapper"
"getLabel","literal wrapper"
"run","wrapper"
"getLabel","literal wrapper"
"run","wrapper"
"main","main"
"skipExample","literal wrapper"
"limitExample","literal wrapper"
"limitInfiniteStreamExample","literal wrapper"
"getEvenNumbers","literal wrapper"
"convertUUIDToBytes","property wrapper"
"convertBytesToUUID","literal wrapper"
"main","main"
"listCombiner","property wrapper"
"asBiFunction","unclassified"
"main","main"
"main","main"
"parseDate","literal wrapper"
"parseDate","literal wrapper"
"parseDate","literal wrapper"
"parseDate","property wrapper"
"between","property wrapper"
"timestamp","literal wrapper"
"timestamp","literal wrapper"
"between","property wrapper"
"after","literal wrapper"
"before","literal wrapper"
"between","property wrapper"
"date","literal wrapper"
"between","property wrapper"
"time","literal wrapper"
"getDate","literal wrapper"
"roundToDay","literal wrapper"
"roundToNearestUnit","property wrapper"
"roundToStartOfMonthUsingLocalDateTime","property wrapper"
"roundToEndOfWeekUsingLocalDateTime","property wrapper"
"roundToStartOfMonthUsingZonedDateTime","property wrapper"
"roundToEndOfWeekUsingZonedDateTime","property wrapper"
"isOverlapUsingCalendarAndDuration","predicate wrapper"
"isOverlapUsingLocalDateAndDuration","predicate wrapper"
"isOverlapUsingJodaTime","literal wrapper"
"isOverlapUsingCalendarAndCondition","predicate wrapper"
"isOverlapUsingLocalDateAndCondition","predicate wrapper"
"isOverlapUsingCalendarAndFindMin","predicate wrapper"
"isOverlapUsingLocalDateAndFindMin","predicate wrapper"
"isSameDay","predicate wrapper"
"isSameDay","predicate wrapper"
"isSameHour","predicate wrapper"
"isSameMinute","predicate wrapper"
"isSameHour","predicate wrapper"
"isSameHour","predicate wrapper"
"isSameDay","literal wrapper"
"isSameHour","literal wrapper"
"main","main"
"isRealUser","literal"
"producer","literal"
"christmas","literal wrapper"
"newYear","literal wrapper"
"easter","literal wrapper"
"assertStreamEquals","wrapper"
"assertStreamEquals","wrapper"
"assertStreamEquals","wrapper"
"add","wrapper"
"main","main"
"premain","wrapper"
"addExportsAndOpensByClassName","wrapper"
"addExportsAndOpensToUnnamedModule","literal wrapper"
"redefineModule","wrapper"
"addOpens","wrapper"
"testPublicStaticMethod","literal"
"testPrivateStaticMethod","literal"
"testPublicStaticMethod","literal"
"testPrivateStaticMethod","literal"
"testPublicStaticMethod","literal"
"testPrivateStaticMethod","literal"
"testPublicStaticMethod","literal"
"testPrivateStaticMethod","literal"
"testPublicStaticMethod","literal"
"testPrivateStaticMethod","literal"
"testPublicStaticMethod","literal"
"testPrivateStaticMethod","literal"
"main","main"
"main","main"
"main","main"
"main","main"
"doSomething","literal"
"main","main"
"main","main"
"message","literal"
"staticPrivate","literal"
"main","main"
"checkIfLeapYear","literal wrapper"
"main","main"
"checkIfLeapYear","literal wrapper"
"main","main"
"getSize","property"
"createImage","literal wrapper"
"streamLiveVideo","literal wrapper"
"streamLiveVideo","property wrapper"
"sleep","literal wrapper"
"forEach","wrapper"
"takeWhile","property wrapper"
"takeWhileJava9","literal wrapper"
"plainForLoopWithBreak","literal wrapper"
"getStream","literal wrapper"
"scannerWithDelimiter","literal wrapper"
"scannerWithDelimiterUsingPattern","literal wrapper"
"baseScanner","literal wrapper"
"main","main"
"main","main"
"buzz","literal wrapper"
"staticBaz","literal"
"findEvenNumbersAfterGroupingByQuantityOfDigits","property wrapper"
"findEvenNumbersBeforeGroupingByQuantityOfDigits","property wrapper"
"main","main"
"getCrytpographyProviderName","literal wrapper"
"getCallStackClassNames","literal wrapper"
"getXmlFromObject","literal wrapper"
"getBase64EncodedString","wrapper"
"createExpectedFilterAfterGroupingMap","literal wrapper"
"createExpectedFilterBeforeGroupingMap","literal wrapper"
"deprecatedMethod","empty"
"suppressBoxingWarning","literal wrapper"
"toEnum","literal wrapper"
"main","main"
"convertByteArrayToIntUsingShiftOperator","property"
"convertIntToByteArrayUsingShiftOperator","property"
"convertByteArrayToLongUsingShiftOperator","property"
"convertLongToByteArrayUsingShiftOperator","property"
"convertByteArrayToFloatUsingShiftOperator","property wrapper"
"convertFloatToByteArrayUsingShiftOperator","literal wrapper"
"convertingByteArrayToDoubleUsingShiftOperator","property wrapper"
"convertDoubleToByteArrayUsingShiftOperator","literal wrapper"
"convertByteArrayToIntUsingByteBuffer","literal wrapper"
"convertIntToByteArrayUsingByteBuffer","literal wrapper"
"convertByteArrayToLongUsingByteBuffer","literal wrapper"
"convertLongToByteArrayUsingByteBuffer","literal wrapper"
"convertByteArrayToFloatUsingByteBuffer","literal wrapper"
"convertFloatToByteArrayUsingByteBuffer","literal wrapper"
"convertByteArrayToDoubleUsingByteBuffer","literal wrapper"
"convertDoubleToByteArrayUsingByteBuffer","literal wrapper"
"convertByteArrayToIntUsingBigInteger","literal wrapper"
"convertIntToByteArrayUsingBigInteger","literal wrapper"
"convertByteArrayToLongUsingBigInteger","literal wrapper"
"convertLongToByteArrayUsingBigInteger","literal wrapper"
"convertByteArrayToFloatUsingBigInteger","literal wrapper"
"convertFloatToByteArrayUsingBigInteger","literal wrapper"
"convertByteArrayToDoubleUsingBigInteger","literal wrapper"
"convertDoubleToByteArrayUsingBigInteger","literal wrapper"
"convertingByteArrayToIntUsingGuava","literal wrapper"
"convertIntToByteArrayUsingGuava","literal wrapper"
"convertByteArrayToLongUsingGuava","literal wrapper"
"convertLongToByteArrayUsingGuava","literal wrapper"
"convertByteArrayToFloatUsingGuava","literal wrapper"
"convertFloatToByteArrayUsingGuava","literal wrapper"
"convertByteArrayToDoubleUsingGuava","literal wrapper"
"convertDoubleToByteArrayUsingGuava","literal wrapper"
"convertByteArrayToIntUsingCommonsLang","literal wrapper"
"convertIntToByteArrayUsingCommonsLang","literal wrapper"
"convertByteArrayToLongUsingCommonsLang","literal wrapper"
"convertLongToByteArrayUsingCommonsLang","literal wrapper"
"convertByteArrayToFloatUsingCommonsLang","literal wrapper"
"convertFloatToByteArrayUsingCommonsLang","literal wrapper"
"convertByteArrayToDoubleUsingCommonsLang","literal wrapper"
"convertDoubleToByteArrayUsingCommonsLang","literal wrapper"
"usingGetNumericValueMethod","property wrapper"
"usingDigitMethod","property wrapper"
